N-Number,Serial,Manufacturer,Model,Year,Owner,City,State,Status
1007S,RB-209,HAWKER BEECHCRAFT CORP,390,2007,NMAER INC,ORLANDO,FL,20251121
100A,6550,GULFSTREAM AEROSPACE CORP,GVI (G650ER),2023,EXXON MOBIL CORP,HOUSTON,TX,20231204
100AC,5546,BOMBARDIER INC,CL-600-2B16,2002,SMITH VICARS & CO LLC,CHARLOTTESVILLE,VA,20230721
100AF,3022,PILATUS AIRCRAFT LTD,PC-12/47G,2025,BARRIER EQUIPMENT LLC,FRESNO,CA,20260331
100AG,258747,RAYTHEON AIRCRAFT COMPANY,HAWKER 800XP,2005,DODSON INTL PARTS INC,RANTOUL,KS,20230421
100AL,6431,GULFSTREAM AEROSPACE CORP,GVI (G650ER),2020,,,,20230317
100AR,560-5241,CESSNA,560XL,2002,INDEPENDENCE AIRCRAFT INC,MANCHESTER,NH,20230414
100AS,274,DASSAULT/SUD,FAN JET FALCON,1969,KALITTA CHARTERS LLC,YPSILANTI,MI,20240313
100AX,155,DASSAULT AVIATION,MYSTERE FALCON 900,1995,APPLIED UNDERWRITERS INC,OMAHA,NE,20240419
100BD,70234,BOMBARDIER INC,BD-700-2A12,2025,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NORTH SALT LAKE,UT,20251205
100BE,FL-403,RAYTHEON AIRCRAFT COMPANY,B300,2004,BEMIS MANUFACTURING CO,SHEBOYGAN FALLS,WI,20240517
100BM,4020,GULFSTREAM AEROSPACE,GIV-X (G450),2005,BATELEUR EAGLE HOLDINGS II LLC,CHICAGO,IL,20260126
100CJ,560-5100,CESSNA,560XL,2000,DOUBLE FORCE MANAGEMENT LLC,BOWLING GREEN,KY,20230403
100CU,104,DASSAULT-BREGUET,FALCON 10,1977,JANI KING AVIATION LLC,ADDISON,TX,20230728
100ED,73019,GULFSTREAM AEROSPACE CORP,GVII-G600,2020,CANDYBAR AVIATION LLC,KALISPELL,MT,20230304
100ES,6014,GULFSTREAM AEROSPACE CORP,GVI (G650ER),2011,,,,20230722
100EV,3013,PIAGGIO AERO INDUSTRIES SPA,P180,2022,CASEY KEY TWO LLC,NEWARK,DE,20230206
100EX,50000130,EMBRAER-EMPRESA BRASILEIRA DE,EMB-500,2010,E D SANTOS & ASSOCIATES LLC TRUSTEE,WILMINGTON,DE,20260106
100FF,50000141,EMBRAER-EMPRESA BRASILEIRA DE,EMB-500,2010,MC GROUP CONSULTING LLC,SCOTTSDALE,AZ,20230728
100FG,50500084,EMBRAER S A,EMB-505,2011,UNIVERSITY ATHLETIC ASSOCIATION INC,GAINESVILLE,FL,20230407
100FJ,118,DASSAULT-BREGUET,FALCON 10,,AVW EQUIPMENT CO INC,MAYWOOD,IL,20240222
100FK,113,LEARJET INC,45,2000,FK AIR LLC,NEWARK,DE,20241021
100FL,5510,BOMBARDIER INC,CL-600-2B16,2001,GHS LEASING CO,NEWPORT BEACH,CA,20241001
100FN,RK-566,HAWKER BEECHCRAFT CORP,400A,2008,MEANDER AIR II LLC,MOON TOWNSHIP,PA,20230428
100FX,87041,GULFSTREAM AEROSPACE CORP,GVIII-G700,2024,DIRECTIONAL CAPITAL LLC DBA,CLEVELAND,OH,20250612
100GP,LJ-2007,HAWKER BEECHCRAFT CORP,C90GTI,2011,100GP LLC,WILMINGTON,DE,20230915
100HB,5137,GULFSTREAM AEROSPACE,GV-SP (G550),2006,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NORTH SALT LAKE,UT,20241205
100HG,625,GULFSTREAM AEROSPACE,G-V,2000,HARBOUR GROUP INDUSTRIES INC,CLAYTON,MO,20230603
100HL,258345,RAYTHEON AIRCRAFT COMPANY,HAWKER 800XP,1997,RAIL TRANSLOADING SERVICES LLC,SAN ANTONIO,TX,20231106
100HS,E-3506,RAYTHEON AIRCRAFT COMPANY,A36,,AIR WORKS LTD,WILMINGTON,DE,20230519
100J,123,PILATUS AIRCRAFT LTD,PC-24,2019,MATTERHORN AVIATION LLC,ARROYO GRANDE,CA,20240817
100JA,865,PILATUS AIRCRAFT LTD,PC-12/47,2007,DOLCE VITA ASSETS LLC,SAINT PETERSBURG,FL,20230526
100KU,183,AVION MARCEL DASSAULT BREGUET,FALCON 10,1981,NION LLC,NEW CENTURY,KS,20230718
100KZ,065,LEARJET INC,45,1999,LEAR 100KZ LLC,AUSTIN,TX,20230830
100LA,9321,BOMBARDIER INC,BD-700-1A11,2008,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NORTH SALT LAKE,UT,20250903
100LC,50500124,EMBRAER S A,EMB-505,2012,LAMONT AVIATION LLC,ABERDEEN,SD,20230804
100MB,60,DASSAULT,FALCON 2000EX,2005,MB AVIATION CORP,FAIRFIELD,OH,20230505
100MZ,50000362,EMBRAER SA,EMB-500,2015,REGISTRATION PENDING,WANCHESE,NC,20260309
100PA,000132,ECLIPSE AVIATION CORP,EA500,2008,PMMCJS LLC,LOUISBURG,NC,20250218
100PU,50000220,EMBRAER-EMPRESA BRASILEIRA DE,EMB-500,2010,THREE PINES AIR LLC,OCILLA,GA,20230324
100QS,9480,BOMBARDIER INC,BD-700-1A11,2012,,,,20231018
100RC,50500668,EMBRAER EXECUTIVE AIRCRAFT INC,EMB-505,2022,RYDELL CO,SIOUX FALLS,SD,20230811
100RG,E-3641,RAYTHEON AIRCRAFT COMPANY,G36,2005,N100RG LLC,ITTA BENA,MS,20230922
100RP,9450,BOMBARDIER INC,BD-700-1A10,2011,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NORTH SALT LAKE,UT,20240813
100SA,21019,BOMBARDIER INC,BD-100-1A10,2024,ESSAY MANAGEMENT SERVICES LLC,OKLAHOMA CITY,OK,20241031
100SC,560-6141,CESSNA,560XL,2013,560 INC TRUSTEE,CHATTANOOGA,TN,20230818
100TS,320,PILATUS AIRCRAFT LTD,PC-24,2023,PANDION LLC,PONTE VEDRA BEACH,FL,20240112
100UP,44,DASSAULT-BREGUET,MYSTERE FALCON 900,1988,FJ100 LLC,WACO,TX,20230729
100UU,1000,PILATUS AIRCRAFT LTD,PC-6/B2-H4,,QUALITAIR LLC TRUSTEE,MICHELSTADT,,20250214
100VA,000138,ECLIPSE AVIATION CORP,EA500,2008,VALIAIR LIMITED CO TRUSTEE,CASPER,WY,20260518
100VQ,140,LEARJET INC,24,,NATIONAL AVIATION ACADEMY OF MISSISSIPPI INC,CLEARWATER,FL,20240207
100WE,RB-45,RAYTHEON AIRCRAFT COMPANY,390,,TBC AVIATION LLC,EMPORIA,KS,20250812
100WN,288,GATES LEARJET,25D,1979,COLUMBUS STATE COMMUNITY COLLEGE,COLUMBUS,OH,20230728
100WX,50000037,EMBRAER-EMPRESA BRASILEIRA DE,EMB-500,2009,TVPX ARS INC TRUSTEE,NORTH SALT LAKE,UT,20240521
100XH,E-3249,RAYTHEON AIRCRAFT COMPANY,A36,1999,BIGGS AIRCRAFT INC,WELLSTON,OK,20030827
100XS,5376,GULFSTREAM AEROSPACE,GV-SP (G550),2012,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NORTH SALT LAKE,UT,20251211
100YB,560-5136,CESSNA,560XL,,ENG CAPITAL LLC,COPPELL,TX,20251226
100YC,281,PILATUS,PC-12/45,1999,FIRST VIEW AVIATION LLC,BURLINGTON,CO,20230718
100YP,222,DASSAULT-BREGUET,FALCON 10,1988,JK LLC,RIDGEVILLE,SC,20250318
100YR,626,PILATUS AIRCRAFT LTD,PC-24,,PILATUS AIRCRAFT USA LTD,BROOMFIELD,CO,20260612
10100,6514,GULFSTREAM AEROSPACE CORP,GVI (G650ER),2022,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NORTH SALT LAKE,UT,20240116
1013,20229,BOMBARDIER INC,BD-100-1A10,2008,1013SH LLC,NOVATO,CA,20240628
10156,145786,EMBRAER,EMB-145XR,2004,UNITED AIRLINES INC,CHICAGO,IL,20250505
10199,73021,GULFSTREAM AEROSPACE CORP,GVII-G600,2019,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NORTH SALT LAKE,UT,20230130
1019L,9125,BOMBARDIER INC,BD-700-1A10,2003,,,,20250724
101CC,50500755,EMBRAER EXECUTIVE AIRCRAFT INC,EMB-505,2023,KBACCC LLC,OAKLAND,KY,20251026
101CN,7625,BOMBARDIER INC,CL-600-2B19,2022,CORPORATE FLIGHT MANAGEMENT INC DBA,SMYRNA,TN,20240130
101ER,560-6179,CESSNA,560XL,2014,RL TRASNPORTATION CO IX LLC,UPLAND,CA,20260305
101FG,50000222,EMBRAER SA,EMB-500,2011,UNIVERSITY ATHLETIC ASSOCIATION INC,GAINESVILLE,FL,20230701
101FX,87054,GULFSTREAM AEROSPACE CORP,GVIII-G700,2024,IRB HOLDING CORP,CLEVELAND,OH,20251015
101GQ,1262,COMPAGNIE DAHER,TBM 700,2018,BANKRUPTCY SERVICES LLC,WILMINGTON,DE,20260302
101HQ,17000156,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007,REPUBLIC AIRWAYS INC,CARMEL,IN,20260312
101JE,569,PILATUS,PC-12/45,2004,JEVA AIR CORP,PLANTATION,FL,20230414
101KF,5564,BOMBARDIER INC,CL-600-2B16,,TRAVERS 6 LLC,CHESTERFIELD,MO,20231207
101KK,55020260,EMBRAER SA,EMB-550,,KOHLER CO,KOHLER,WI,20260602
101L,2302,PILATUS AIRCRAFT LTD,PC-12/47E,2023,,,,20231202
101MH,73081,GULFSTREAM AEROSPACE CORP,GVII-G600,2022,MCG LEASING LLC,WHITE PLAINS,NY,20230223
101MX,609,GULFSTREAM AEROSPACE,G-V,2000,BAKR LLC,LOS ANGELES,CA,20260317
101ND,037,LEARJET INC,60,1994,FLORIDA JET PARTS LLC,FORT LAUDERDALE,FL,20230401
101NY,4221,GULFSTREAM AEROSPACE,GIV-X (G450),2011,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UT,20250724
101PC,101,PILATUS,PC-7,1978,SOMERS CHARLES,HILLSBORO,OR,20240927
101PK,1610,PILATUS AIRCRAFT LTD,PC-12/47E,2016,MASSEY AIR INC,LUCDALE,MS,20251205
101PV,23,DASSAULT,FALCON 2000EX,2003,LTC AIR II LLC,MILWAUKIE,OR,20230428
101QS,9483,BOMBARDIER INC,BD-700-1A11,2012,,,,20240716
101RE,6101,BOMBARDIER INC,CL-600-2B16(CL-604),2017,,,,20251021
101SG,BB-1785,RAYTHEON AIRCRAFT COMPANY,B200,2001,SE AVIATION LLC,TUPELO,MS,20251006
101SS,161,LEARJET INC,60,1999,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NORTH SALT LAKE,UT,20240503
101UD,60015,BOMBARDIER INC,BD-700-1A11,,UNICORP AVIATION LLC,ORLANDO,FL,20230304
101WF,197,DASSAULT AVIATION,MYSTERE FALCON 900,2003,BL CUSTOM EQUIPMENT LLC,CINCINNATI,OH,20241108
